price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,F,Konstruksi,2257.81
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2587.95
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,H,Transportasi dan Pergudangan,956.36
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,I,Penyediaan Akomodasi dan Makan Minum,152.88
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,J,Informasi dan Komunikasi,1961.25
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,K,Jasa Keuangan dan Asuransi,774.84
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,L,Real Estate,455.13
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,MN,Jasa Perusahaan,27.31
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2809.37
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,P,Jasa Pendidikan,1631.31
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,PDRB,Produk Domestik Regional Bruto,20401.4
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,Q,Jasa Kesehatan dan Kegiatan Sosial,513.82
ADHK,Nusa Tenggara Timur,2024,Q4,2024Q4,RSTU,Jasa Lainnya,342.88
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,A,"Pertanian, Kehutanan dan Perikanan",5218.45
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,B,Pertambangan dan Penggalian,225.27
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,C,Industri Pengolahan,259.54
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,D,Pengadaan Listrik dan Gas,20.7
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",15.76
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,F,Konstruksi,1722.15
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2592.07
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,H,Transportasi dan Pergudangan,912.85
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,I,Penyediaan Akomodasi dan Makan Minum,133.07
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,J,Informasi dan Komunikasi,1981.94
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,K,Jasa Keuangan dan Asuransi,811.36
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,L,Real Estate,449.4
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,MN,Jasa Perusahaan,27.24
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2581.05
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,P,Jasa Pendidikan,1640.9
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,PDRB,Produk Domestik Regional Bruto,19390.65
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,Q,Jasa Kesehatan dan Kegiatan Sosial,473.52
