price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,Q,Jasa Kesehatan dan Kegiatan Sosial,300.25
ADHB,Kep. Bangka Belitung,2021,Q2,2021Q2,RSTU,Jasa Lainnya,175.47
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,A,"Pertanian, Kehutanan dan Perikanan",4386.65
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,B,Pertambangan dan Penggalian,2138.56
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,C,Industri Pengolahan,4666.85
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,D,Pengadaan Listrik dan Gas,28.38
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.45
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,F,Konstruksi,2077.42
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3178.55
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,H,Transportasi dan Pergudangan,708.91
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,I,Penyediaan Akomodasi dan Makan Minum,634.62
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,J,Informasi dan Komunikasi,440.91
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,K,Jasa Keuangan dan Asuransi,388.65
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,L,Real Estate,756.17
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,MN,Jasa Perusahaan,58.12
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1159.69
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,P,Jasa Pendidikan,685.96
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,PDRB,Produk Domestik Regional Bruto,21783.35
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,Q,Jasa Kesehatan dan Kegiatan Sosial,318.02
ADHB,Kep. Bangka Belitung,2021,Q3,2021Q3,RSTU,Jasa Lainnya,151.44
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,A,"Pertanian, Kehutanan dan Perikanan",4407.58
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,B,Pertambangan dan Penggalian,2253.42
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,C,Industri Pengolahan,4662.2
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,D,Pengadaan Listrik dan Gas,28.73
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.49
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,F,Konstruksi,2172.11
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3431.29
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,H,Transportasi dan Pergudangan,911.27
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,I,Penyediaan Akomodasi dan Makan Minum,720.03
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,J,Informasi dan Komunikasi,470.72
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,K,Jasa Keuangan dan Asuransi,399.81
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,L,Real Estate,765.32
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,MN,Jasa Perusahaan,58.81
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1506.78
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,P,Jasa Pendidikan,698.17
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,PDRB,Produk Domestik Regional Bruto,22993.82
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,Q,Jasa Kesehatan dan Kegiatan Sosial,307.82
ADHB,Kep. Bangka Belitung,2021,Q4,2021Q4,RSTU,Jasa Lainnya,195.28
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,A,"Pertanian, Kehutanan dan Perikanan",4218.05
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,B,Pertambangan dan Penggalian,2139.62
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,C,Industri Pengolahan,5194.31
