price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHB,Kalimantan Utara,2020,Q4,2020Q4,P,Jasa Pendidikan,667.31
ADHB,Kalimantan Utara,2020,Q4,2020Q4,PDRB,Produk Domestik Regional Bruto,25913.93
ADHB,Kalimantan Utara,2020,Q4,2020Q4,Q,Jasa Kesehatan dan Kegiatan Sosial,296.9
ADHB,Kalimantan Utara,2020,Q4,2020Q4,RSTU,Jasa Lainnya,187.69
ADHB,Kalimantan Utara,2021,Q1,2021Q1,A,"Pertanian, Kehutanan dan Perikanan",4259.96
ADHB,Kalimantan Utara,2021,Q1,2021Q1,B,Pertambangan dan Penggalian,7177.46
ADHB,Kalimantan Utara,2021,Q1,2021Q1,C,Industri Pengolahan,2411.59
ADHB,Kalimantan Utara,2021,Q1,2021Q1,D,Pengadaan Listrik dan Gas,14.11
ADHB,Kalimantan Utara,2021,Q1,2021Q1,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",16.1
ADHB,Kalimantan Utara,2021,Q1,2021Q1,F,Konstruksi,3697.14
ADHB,Kalimantan Utara,2021,Q1,2021Q1,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3317.92
ADHB,Kalimantan Utara,2021,Q1,2021Q1,H,Transportasi dan Pergudangan,1596.51
ADHB,Kalimantan Utara,2021,Q1,2021Q1,I,Penyediaan Akomodasi dan Makan Minum,396.38
ADHB,Kalimantan Utara,2021,Q1,2021Q1,J,Informasi dan Komunikasi,694.96
ADHB,Kalimantan Utara,2021,Q1,2021Q1,K,Jasa Keuangan dan Asuransi,302.03
ADHB,Kalimantan Utara,2021,Q1,2021Q1,L,Real Estate,200.51
ADHB,Kalimantan Utara,2021,Q1,2021Q1,MN,Jasa Perusahaan,57.62
ADHB,Kalimantan Utara,2021,Q1,2021Q1,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1167.6
ADHB,Kalimantan Utara,2021,Q1,2021Q1,P,Jasa Pendidikan,678.69
ADHB,Kalimantan Utara,2021,Q1,2021Q1,PDRB,Produk Domestik Regional Bruto,26486.61
